unigene,A Chr,C Chr,AGI
BnaC03g46070D,.,C03,0
BnaC03g46080D,.,C03,0
BnaC03g46090D,.,C03,0
Bo3g090120.1,.,C03,0
Bo3g090130.1,.,C03,AT2G16250.1
Bo3g090140.1,.,C03,AT3G01610.1
Bo3g090150.1,.,C03,AT2G16280.1
Bo3g090160.1,.,C03,0
Bo3g090170.1,.,C03,0
Bo3g090180.1,.,C03,AT2G16370.1
BnaC03g46200D,.,C03,0
BnaC03g46220D,.,C03,0
Bo3g090190.1,.,C03,0
Bo3g090200.1,.,C03,0
Bo3g090210.1,.,C03,0
Bo3g090220.1,.,C03,AT2G16380.1
Bo3g090230.1,.,C03,AT2G16390.1
BnaC03g46260D,.,C03,0
Bo3g090240.1,.,C03,AT2G16430.2
BnaC03g46280D,.,C03,0
BnaC03g46290D,.,C03,0
Bo3g091240.1,.,C03,0
Bo3g091250.1,.,C03,0
Bo3g091260.1,.,C03,AT2G16430.2
Bo3g091270.1,.,C03,ATMG00640.1
Bo3g091280.1,.,C03,0
Bo3g091290.1,.,C03,AT2G16430.2
Bo3g091300.1,.,C03,0
Bo3g091310.1,.,C03,0
Bo3g091320.1,.,C03,0
Bo3g091330.1,.,C03,0
Bo3g091340.1,.,C03,0
Bo3g091350.1,.,C03,AT2G16430.2
Bo3g091360.1,.,C03,AT2G16440.1
BnaC03g46420D,.,C03,0
Bo3g091370.1,.,C03,0
Bo3g091380.1,.,C03,0
Bo3g091390.1,.,C03,AT4G34720.1
Bo3g091400.1,.,C03,0
Bo3g091410.1,.,C03,AT1G72590.1
Bo3g091420.1,.,C03,AT2G16580.1
Bo3g091430.1,.,C03,0
Bo3g091440.1,.,C03,AT2G16660.1
Bo3g091450.1,.,C03,0
BnaC03g46490D,.,C03,0
Bo3g091460.1,.,C03,0
Bo3g091470.1,.,C03,0
Bo3g091480.1,.,C03,AT2G16700.1
Bo3g091490.1,.,C03,0
Bo3g091500.1,.,C03,0
Bo3g091510.1,.,C03,0
Bo3g091520.1,.,C03,0
Bo3g091530.1,.,C03,0
BnaC03g46540D,.,C03,0
Bo3g091540.1,.,C03,0
Bo3g091550.1,.,C03,0
Bo3g091560.1,.,C03,AT5G34838.1
Bo3g091570.1,.,C03,AT1G42690.1
Bo3g091580.1,.,C03,0
Bo3g091590.1,.,C03,0
Bo3g091600.1,.,C03,AT2G16720.1
Bo3g091610.1,.,C03,0
Bo3g091620.1,.,C03,AT2G16730.1
Bo3g091630.1,.,C03,0
Bo3g091640.1,.,C03,0
Bo3g091650.1,.,C03,AT3G15310.1
Bo3g091660.1,.,C03,AT2G16740.1
Bo3g091670.1,.,C03,AT4G35040.1
Bo3g091680.1,.,C03,0
BnaC03g46640D,.,C03,0
Bo3g091690.1,.,C03,0
BnaC03g46670D,.,C03,AT5G19680.1
Bo3g091700.1,.,C03,0
Bo3g091710.1,.,C03,AT5G19680.1
Bo3g091720.1,.,C03,AT5G02490.1
BnaC03g46710D,.,C03,0
Bo3g091730.1,.,C03,0
Bo3g091740.1,.,C03,0
Bo3g091750.1,.,C03,0
Bo3g091760.1,.,C03,AT2G16890.2
Bo3g091770.1,.,C03,AT2G16900.1
Bo3g091780.1,.,C03,AT2G16910.1
Bo3g091790.1,.,C03,AT2G16920.1
Bo3g091800.1,.,C03,AT2G16940.2
Bo3g091810.1,.,C03,0
Bo3g091820.1,.,C03,0
Bo3g091830.1,.,C03,0
Bo3g091840.1,.,C03,AT1G34360.1
Bo3g091850.1,.,C03,0
Bo3g091860.1,.,C03,0
Bo3g091870.1,.,C03,AT2G16950.2
Bo3g091880.1,.,C03,0
Bo3g091890.1,.,C03,0
Bo3g091900.1,.,C03,0
Bo3g091910.1,.,C03,0
BnaC03g38980D,.,C03,0
Bo3g091920.1,.,C03,0
Bo3g091930.1,.,C03,0
Bo3g091940.1,.,C03,AT2G16990.2
Bo3g091950.1,.,C03,AT2G16990.2
Bo3g091960.1,.,C03,AT2G17000.1
Bo3g091970.1,.,C03,AT2G17000.1
Bo3g091980.1,.,C03,AT2G17030.1
Bo3g091990.1,.,C03,AT2G17033.2
Bo3g092000.1,.,C03,0
BnaC03g60950D,.,C03,ATCG00340.1
BnaC03g60960D,.,C03,ATCG00280.1
Bo3g092010.1,.,C03,ATCG00270.1
BnaC03g60980D,.,C03,0
Bo3g092020.1,.,C03,0
Bo3g092030.1,.,C03,0
Bo3g092040.1,.,C03,AT2G17070.1
Bo3g092050.1,.,C03,AT2G17080.1
Bo3g092060.1,.,C03,0
Bo3g092070.1,.,C03,0
Bo3g092080.1,.,C03,0
Bo3g092090.1,.,C03,0
Bo3g092100.1,.,C03,AT2G17060.1
Bo3g092110.1,.,C03,0
BnaC03g47390D,.,C03,0
Bo3g092120.1,.,C03,AT3G10640.2
Bo3g092130.1,.,C03,0
Bo3g092140.1,.,C03,AT2G17050.1
Bo3g092150.1,.,C03,0
Bo3g092160.1,.,C03,0
Bo3g092170.1,.,C03,AT2G17080.1
Bo3g092180.1,.,C03,AT2G17090.1
Bo3g092190.1,.,C03,0
Bo3g092200.1,.,C03,0
Bo3g092210.1,.,C03,AT2G17110.1
Bo3g092220.1,.,C03,AT5G66070.1
BnaC03g47470D,.,C03,0
Bo3g092230.1,.,C03,AT5G66110.1
Bo3g092240.1,.,C03,0
Bo3g092250.1,.,C03,0
Bo3g092260.1,.,C03,AT2G17150.1
Bo3g092270.1,.,C03,AT2G17200.1
Bo3g092280.1,.,C03,AT3G24506.1
Bo3g092290.1,.,C03,AT2G17265.1
Bo3g092300.1,.,C03,AT2G17270.1
Bo3g092310.1,.,C03,AT2G17290.1
Bo3g092320.1,.,C03,0
Bo3g092330.1,.,C03,0
Bo3g092340.1,.,C03,0
Bo3g092350.1,.,C03,0
Bo3g092360.1,.,C03,0
Bo3g092370.1,.,C03,AT2G17340.1
Bo3g092380.1,.,C03,0
BnaC03g47640D,.,C03,0
BnaC03g47650D,.,C03,0
BnaC03g47660D,.,C03,0
BnaC03g47670D,.,C03,0
BnaC03g47680D,.,C03,0
BnaC03g47690D,.,C03,0
BnaC03g47700D,.,C03,0
BnaC03g47710D,.,C03,0
Bo3g092390.1,.,C03,0
BnaC03g47730D,.,C03,0
BnaC03g47740D,.,C03,0
BnaC03g47750D,.,C03,0
Bo3g093390.1,.,C03,0
Bo3g093400.1,.,C03,0
Bo3g093410.1,.,C03,AT1G02950.4
Bo3g093420.1,.,C03,0
Bo3g093430.1,.,C03,AT1G02950.4
Bo3g093440.1,.,C03,0
Bo3g093450.1,.,C03,AT2G17420.1
BnaC03g47780D,.,C03,0
Bo3g093460.1,.,C03,AT2G17440.1
BnaC03g47800D,.,C03,0
Bo3g093470.1,.,C03,AT2G17450.1
Bo3g093480.1,.,C03,0
Bo3g093490.1,.,C03,AT2G17520.1
Bo3g093500.1,.,C03,0
Bo3g093510.1,.,C03,0
Bo3g093520.1,.,C03,0
Bo3g093530.1,.,C03,0
Bo3g093540.1,.,C03,AT2G17570.1
Bo3g093550.1,.,C03,0
Bo3g093560.1,.,C03,AT2G17580.1
Bo3g093570.1,.,C03,AT2G17620.1
Bo3g093580.1,.,C03,0
Bo3g093590.1,.,C03,0
Bo3g093600.1,.,C03,AT2G17640.1
Bo3g093610.1,.,C03,AT2G17660.1
Bo3g093620.1,.,C03,0
Bo3g093630.1,.,C03,AT2G17695.3
Bo3g093640.1,.,C03,AT2G17700.1
BnaC03g47920D,.,C03,0
Bo3g093650.1,.,C03,0
Bo3g093660.1,.,C03,AT2G17710.1
Bo3g093670.1,.,C03,AT2G17720.1
BnaC03g47970D,.,C03,0
Bo3g093680.1,.,C03,0
BnaC03g47990D,.,C03,AT2G33150.1
Bo3g093690.1,.,C03,0
Bo3g093700.1,.,C03,AT3G58940.1
Bo3g093710.1,.,C03,0
BnaC03g48020D,.,C03,0
Bo3g093720.1,.,C03,0
Bo3g093730.1,.,C03,0
Bo3g093740.1,.,C03,0
Bo3g093750.1,.,C03,AT2G17760.1
Bo3g093760.1,.,C03,0
Bo3g093770.1,.,C03,0
Bo3g093780.1,.,C03,AT2G17800.2
Bo3g093790.1,.,C03,AT2G17840.1
Bo3g093800.1,.,C03,AT2G17850.1
Bo3g093810.1,.,C03,AT2G17880.1
BnaC03g48130D,.,C03,AT3G55310.1
Bo3g093820.1,.,C03,AT3G55290.2
Bo3g093830.1,.,C03,AT2G17890.1
Bo3g093840.1,.,C03,AT2G17930.1
BnaC03g48170D,.,C03,AT1G10530.1
BnaC03g48180D,.,C03,AT1G10490.1
BnaC03g48190D,.,C03,0
BnaC03g48200D,.,C03,0
BnaC03g48210D,.,C03,AT1G10470.1
BnaC03g48220D,.,C03,0
BnaC03g48230D,.,C03,AT1G10430.1
BnaC03g48240D,.,C03,AT1G59820.1
BnaC03g48250D,.,C03,0
BnaC03g48260D,.,C03,0
BnaC03g48270D,.,C03,AT1G10410.1
BnaC03g48280D,.,C03,0
BnaC03g48290D,.,C03,AT1G10360.1
BnaC03g48300D,.,C03,0
BnaC03g48310D,.,C03,AT5G66890.1
BnaC03g48320D,.,C03,0
Bo3g093850.1,.,C03,0
Bo3g093860.1,.,C03,AT5G35348.1
Bo3g093870.1,.,C03,0
Bo3g093880.1,.,C03,0
Bo3g093890.1,.,C03,AT2G17980.1
Bo3g093900.1,.,C03,AT2G17990.1
Bo3g093910.1,.,C03,0
Bo3g093920.1,.,C03,0
Bo3g093930.1,.,C03,AT2G18020.1
Bo3g093940.1,.,C03,0
Bo3g093950.1,.,C03,AT2G18060.1
Bo3g093960.1,.,C03,AT4G36220.1
Bo3g093970.1,.,C03,0
Bo3g093980.1,.,C03,AT2G18162.1
Bo3g093990.1,.,C03,AT2G18193.1
BnaC03g56510D,.,C03,0
BnaC03g56520D,.,C03,0
BnaC03g56530D,.,C03,0
BnaC03g56540D,.,C03,AT1G13920.1
BnaC03g56550D,.,C03,AT1G13900.1
BnaC03g56560D,.,C03,AT1G13880.1
BnaC03g56570D,.,C03,AT1G13870.1
BnaC03g56580D,.,C03,0
BnaC03g56590D,.,C03,0
BnaC03g56600D,.,C03,0
BnaC03g56610D,.,C03,0
BnaC03g56620D,.,C03,AT2G14920.1
BnaC03g56630D,.,C03,AT1G26270.1
BnaC03g56640D,.,C03,AT1G26310.1
BnaC03g56650D,.,C03,0
BnaC03g56660D,.,C03,AT1G26360.1
BnaC03g56670D,.,C03,AT1G26370.1
BnaC03g56680D,.,C03,0
BnaC03g56690D,.,C03,0
BnaC03g56700D,.,C03,AT5G46100.1
BnaC03g56710D,.,C03,0
BnaC03g56720D,.,C03,AT5G44600.1
BnaC03g56730D,.,C03,0
BnaC03g56740D,.,C03,AT1G11150.1
BnaC03g56750D,.,C03,0
BnaC03g56760D,.,C03,AT1G60480.1
BnaC03g56770D,.,C03,0
BnaC03g56780D,.,C03,0
BnaC03g56790D,.,C03,0
BnaC03g56800D,.,C03,AT1G13200.1
BnaC03g56810D,.,C03,0
BnaC03g56820D,.,C03,AT1G11150.1
BnaC03g56830D,.,C03,0
BnaC03g56840D,.,C03,AT1G24120.1
BnaC03g56850D,.,C03,AT1G13180.1
BnaC03g56860D,.,C03,0
BnaC03g56870D,.,C03,AT1G13150.1
BnaC03g56880D,.,C03,AT1G13130.1
BnaC03g56890D,.,C03,AT1G13090.1
Bo3g094000.1,.,C03,0
Bo3g094010.1,.,C03,AT1G66960.1
Bo3g094020.1,.,C03,0
Bo3g094030.1,.,C03,AT2G18220.1
Bo3g094040.1,.,C03,AT2G18260.1
Bo3g094050.1,.,C03,AT2G18290.1
Bo3g094060.1,.,C03,AT2G18300.2
Bo3g094070.1,.,C03,0
Bo3g094080.1,.,C03,0
Bo3g094090.1,.,C03,0
Bo3g094100.1,.,C03,0
Bo3g094110.1,.,C03,0
BnaC03g48350D,.,C03,0
Bo3g094120.1,.,C03,AT2G18330.1
Bo3g094130.1,.,C03,AT2G18360.1
Bo3g094140.1,.,C03,AT2G18390.1
Bo3g094150.1,.,C03,AT2G18400.1
Bo3g094160.1,.,C03,0
Bo3g094170.1,.,C03,AT1G65385.1
Bo3g094180.1,.,C03,AT2G18450.1
Bo3g094190.1,.,C03,AT2G18450.1
Bo3g094200.1,.,C03,AT2G18460.1
Bo3g094210.1,.,C03,AT1G13110.1
Bo3g094220.1,.,C03,0
Bo3g094230.1,.,C03,AT2G18500.1
BnaC03g48450D,.,C03,0
Bo3g094240.1,.,C03,AT2G18540.1
BnaC03g48470D,.,C03,AT2G18560.1
Bo3g094250.1,.,C03,0
Bo3g094260.1,.,C03,0
Bo3g094270.1,.,C03,0
Bo3g094280.1,.,C03,0
Bo3g094290.1,.,C03,0
Bo3g095290.1,.,C03,0
Bo3g095300.1,.,C03,AT2G18690.1
Bo3g095310.1,.,C03,AT2G18740.1
Bo3g095320.1,.,C03,AT2G18750.3
Bo3g095330.1,.,C03,AT2G18880.1
Bo3g096330.1,.,C03,AT2G18910.1
Bo3g096340.1,.,C03,AT2G18940.1
Bo3g096350.1,.,C03,AT2G18960.1
Bo3g096360.1,.,C03,0
Bo3g096370.1,.,C03,AT2G19070.1
Bo3g096380.1,.,C03,AT2G19110.1
Bo3g096390.1,.,C03,AT4G01975.1
BnaC03g48500D,.,C03,0
Bo3g096400.1,.,C03,0
Bo3g096410.1,.,C03,AT5G67450.1
Bo3g096420.1,.,C03,AT5G67470.1
Bo3g096430.1,.,C03,AT5G67480.2
Bo3g096440.1,.,C03,AT5G67488.1
Bo3g096450.1,.,C03,AT5G67500.1
Bo3g096460.1,.,C03,AT5G67520.1
Bo3g096470.1,.,C03,AT5G67530.1
Bo3g096480.1,.,C03,AT4G05320.6
Bo3g096490.1,.,C03,AT5G67540.1
Bo3g096500.1,.,C03,AT5G67560.1
Bo3g096510.1,.,C03,AT5G67570.1
Bo3g096520.1,.,C03,AT5G67580.2
Bo3g096530.1,.,C03,0
Bo3g096540.1,.,C03,AT5G67610.1
Bo3g096550.1,.,C03,AT5G67620.1
Bo3g096560.1,.,C03,AT5G67630.1
BnaC03g48690D,.,C03,0
Bo3g096570.1,.,C03,AT5G67640.1
BnaC03g48720D,.,C03,AT5G65910.1
Bo3g097570.1,.,C03,AT5G65900.1
Bo3g097580.1,.,C03,AT5G65890.1
Bo3g097590.1,.,C03,AT1G42690.1
Bo3g097600.1,.,C03,0
Bo3g097610.1,.,C03,0
Bo3g097620.1,.,C03,AT5G65870.1
Bo3g097630.1,.,C03,0
Bo3g097640.1,.,C03,0
Bo3g097650.1,.,C03,AT5G65860.2
Bo3g097660.1,.,C03,AT5G65820.1
Bo3g097670.1,.,C03,AT5G65810.1
Bo3g097680.1,.,C03,AT5G65800.1
Bo3g097690.1,.,C03,0
Bo3g097700.1,.,C03,0
Bo3g097710.1,.,C03,AT5G65790.1
Bo3g097720.1,.,C03,AT5G65770.3
Bo3g097730.1,.,C03,AT5G65760.1
Bo3g097740.1,.,C03,AT5G65750.1
Bo3g097750.1,.,C03,AT5G65740.2
Bo3g097760.1,.,C03,AT5G65730.1
Bo3g097770.1,.,C03,AT5G65720.2
Bo3g097780.1,.,C03,AT5G65700.2
Bo3g097790.1,.,C03,AT5G65685.1
Bo3g097800.1,.,C03,0
Bo3g097810.1,.,C03,0
Bo3g097820.1,.,C03,AT5G65687.1
Bo3g097830.1,.,C03,AT5G65690.1
Bo3g097840.1,.,C03,AT5G65683.1
Bo3g097850.1,.,C03,0
Bo3g097860.1,.,C03,AT5G65670.1
Bo3g097870.1,.,C03,0
Bo3g097880.1,.,C03,0
Bo3g097890.1,.,C03,AT5G65640.1
Bo3g097900.1,.,C03,0
Bo3g097910.1,.,C03,AT5G65620.1
Bo3g097920.1,.,C03,0
Bo3g097930.1,.,C03,0
Bo3g097940.1,.,C03,AT5G65600.1
Bo3g097950.1,.,C03,AT1G42690.1
Bo3g097960.1,.,C03,AT5G65590.1
Bo3g097970.1,.,C03,AT5G65570.1
Bo3g097980.1,.,C03,0
Bo3g097990.1,.,C03,0
Bo3g098000.1,.,C03,0
Bo3g098010.1,.,C03,AT5G65540.1
Bo3g098020.1,.,C03,0
Bo3g098030.1,.,C03,0
Bo3g098040.1,.,C03,0
Bo3g099040.1,.,C03,0
Bo3g099050.1,.,C03,AT5G65570.1
Bo3g099060.1,.,C03,0
Bo3g099070.1,.,C03,AT5G65540.1
Bo3g099080.1,.,C03,AT5G65530.1
Bo3g099090.1,.,C03,AT5G65510.1
BnaC03g48830D,.,C03,0
Bo3g099100.1,.,C03,0
Bo3g099110.1,.,C03,0
Bo3g099120.1,.,C03,AT5G65500.1
Bo3g099130.1,.,C03,0
BnaC03g48870D,.,C03,0
Bo3g099140.1,.,C03,0
Bo3g099150.1,.,C03,AT5G65490.1
Bo3g099160.1,.,C03,AT5G65480.1
Bo3g099170.1,.,C03,AT5G65470.1
BnaC03g48920D,.,C03,0
BnaC03g48930D,.,C03,0
Bo3g099180.1,.,C03,AT5G65460.1
Bo3g099190.1,.,C03,AT5G65450.1
Bo3g099200.1,.,C03,AT5G65440.1
Bo3g099210.1,.,C03,AT5G65430.1
Bo3g099220.1,.,C03,AT5G65420.1
Bo3g099230.1,.,C03,AT5G65410.1
Bo3g099240.1,.,C03,0
Bo3g099250.1,.,C03,AT1G69610.1
Bo3g099260.1,.,C03,0
Bo3g099270.1,.,C03,0
BnaC03g49020D,.,C03,AT5G65380.1
Bo3g099280.1,.,C03,AT5G65380.1
Bo3g099290.1,.,C03,0
Bo3g099300.1,.,C03,AT5G65340.1
Bo3g099310.1,.,C03,0
BnaC03g49040D,.,C03,AT1G10950.1
BnaC03g49050D,.,C03,0
Bo3g099320.1,.,C03,AT5G65340.1
Bo3g099330.1,.,C03,AT5G65310.1
Bo3g099340.1,.,C03,0
Bo3g099350.1,.,C03,0
Bo3g099360.1,.,C03,AT5G65290.1
Bo3g099370.1,.,C03,AT5G65280.1
Bo3g099380.1,.,C03,AT5G65240.1
Bo3g099390.1,.,C03,AT5G65230.1
Bo3g099400.1,.,C03,0
Bo3g099410.1,.,C03,AT5G65210.5
Bo3g099420.1,.,C03,0
Bo3g099430.1,.,C03,0
Bo3g099440.1,.,C03,0
Bo3g099450.1,.,C03,AT5G65205.1
Bo3g099460.1,.,C03,0
BnaC03g49130D,.,C03,0
BnaC03g49140D,.,C03,0
BnaC03g49150D,.,C03,AT5G65140.1
Bo3g099470.1,.,C03,0
Bo3g100470.1,.,C03,AT5G65130.1
Bo3g100480.1,.,C03,AT5G65120.1
Bo3g100490.1,.,C03,AT5G65110.1
Bo3g100500.1,.,C03,AT5G65100.1
Bo3g100510.1,.,C03,AT5G65090.1
Bo3g100520.1,.,C03,0
Bo3g100530.1,.,C03,0
Bo3g100540.1,.,C03,AT5G65070.1
Bo3g100550.1,.,C03,0
Bo3g100560.1,.,C03,0
Bo3g100570.1,.,C03,0
BnaC03g49250D,.,C03,0
BnaC03g49260D,.,C03,0
BnaC03g49270D,.,C03,0
Bo3g100580.1,.,C03,0
Bo3g100590.1,.,C03,0
BnaC03g49290D,.,C03,AT5G65020.1
Bo3g100600.1,.,C03,AT5G65030.1
Bo3g100610.1,.,C03,AT5G65010.2
Bo3g100620.1,.,C03,AT5G65000.1
Bo3g100630.1,.,C03,AT2G24520.1
Bo3g100640.1,.,C03,0
Bo3g100650.1,.,C03,0
Bo3g100660.1,.,C03,AT5G64970.1
Bo3g100670.1,.,C03,AT5G64960.1
BnaC03g49340D,.,C03,0
Bo3g100680.1,.,C03,0
Bo3g100690.1,.,C03,0
Bo3g100700.1,.,C03,0
Bo3g100710.1,.,C03,0
Bo3g100720.1,.,C03,AT5G64940.2
Bo3g100730.1,.,C03,0
Bo3g100740.1,.,C03,0
Bo3g100750.1,.,C03,0
Bo3g100760.1,.,C03,0
Bo3g100770.1,.,C03,0
Bo3g100780.1,.,C03,0
Bo3g100790.1,.,C03,0
Bo3g100800.1,.,C03,0
Bo3g100810.1,.,C03,AT5G64870.1
Bo3g100820.1,.,C03,AT5G64850.1
Bo3g100830.1,.,C03,AT5G64830.1
BnaC03g49440D,.,C03,AT5G64820.1
Bo3g100840.1,.,C03,AT5G64816.2
Bo3g100850.1,.,C03,AT5G64813.1
Bo3g100860.1,.,C03,AT5G64810.1
Bo3g100870.1,.,C03,0
Bo3g100880.1,.,C03,0
Bo3g100890.1,.,C03,0
Bo3g100900.1,.,C03,0
Bo3g100910.1,.,C03,0
Bo3g100920.1,.,C03,AT5G09900.3
Bo3g100930.1,.,C03,AT5G64750.1
Bo3g100940.1,.,C03,0
Bo3g100950.1,.,C03,0
BnaC03g49540D,.,C03,0
Bo3g100960.1,.,C03,0
Bo3g100970.1,.,C03,AT5G64740.1
Bo3g100980.1,.,C03,0
Bo3g100990.1,.,C03,AT5G64730.1
Bo3g101000.1,.,C03,AT5G64700.1
Bo3g101010.1,.,C03,AT3G59390.1
Bo3g101020.1,.,C03,0
Bo3g101030.1,.,C03,AT5G64670.1
Bo3g101040.1,.,C03,AT5G64667.1
Bo3g101050.1,.,C03,AT5G64660.1
Bo3g101060.1,.,C03,0
Bo3g101070.1,.,C03,AT5G64640.1
Bo3g101080.1,.,C03,AT5G64630.2
Bo3g101090.1,.,C03,AT5G64620.1
Bo3g101100.1,.,C03,AT5G64620.1
Bo3g101110.1,.,C03,0
Bo3g101120.1,.,C03,AT5G64610.1
Bo3g101130.1,.,C03,0
Bo3g101140.1,.,C03,0
Bo3g101150.1,.,C03,0
Bo3g101160.1,.,C03,AT5G64580.1
Bo3g101170.1,.,C03,0
Bo3g101180.1,.,C03,AT5G64570.1
Bo3g101190.1,.,C03,AT5G64560.1
Bo3g101200.1,.,C03,AT5G64552.1
Bo3g101210.1,.,C03,0
Bo3g101220.1,.,C03,AT5G64530.1
Bo3g101230.1,.,C03,AT5G64510.1
Bo3g101240.1,.,C03,AT5G64500.1
Bo3g101250.1,.,C03,AT5G64480.1
Bo3g101260.1,.,C03,AT5G64470.2
Bo3g101270.1,.,C03,AT5G64460.8
Bo3g101280.1,.,C03,AT1G06140.1
Bo3g101290.1,.,C03,0
Bo3g101300.1,.,C03,AT5G64440.1
BnaC03g49740D,.,C03,0
Bo3g101310.1,.,C03,AT5G64430.1
Bo3g101320.1,.,C03,AT5G64420.1
Bo3g101330.1,.,C03,AT5G64400.1
Bo3g101340.1,.,C03,AT5G64390.1
Bo3g101350.1,.,C03,0
Bo3g101360.1,.,C03,AT5G64380.1
Bo3g101370.1,.,C03,AT5G64370.1
Bo3g101380.1,.,C03,AT5G64360.4
Bo3g101390.1,.,C03,0
Bo3g101400.1,.,C03,AT5G64350.1
Bo3g101410.1,.,C03,AT5G64341.1
Bo3g101420.1,.,C03,AT5G64330.1
Bo3g101430.1,.,C03,0
Bo3g101440.1,.,C03,AT5G64300.1
Bo3g101450.1,.,C03,AT5G64290.1
Bo3g101460.1,.,C03,AT5G64270.1
Bo3g101470.1,.,C03,0
Bo3g101480.1,.,C03,AT3G15310.1
Bo3g101490.1,.,C03,AT5G64260.1
BnaC03g49930D,.,C03,0
Bo3g101500.1,.,C03,AT5G64250.2
Bo3g101510.1,.,C03,AT5G64240.2
Bo3g101520.1,.,C03,0
Bo3g101530.1,.,C03,AT5G64200.2
Bo3g101540.1,.,C03,AT5G64190.1
Bo3g101550.1,.,C03,AT5G64180.1
Bo3g101560.1,.,C03,AT5G64170.2
Bo3g101570.1,.,C03,AT5G64160.1
Bo3g101580.1,.,C03,AT5G64150.1
Bo3g101590.1,.,C03,AT5G03850.1
Bo3g101600.1,.,C03,AT5G64130.1
Bo3g101610.1,.,C03,AT5G64120.1
Bo3g101620.1,.,C03,0
BnaC03g50070D,.,C03,AT1G69420.1
Bo3g101630.1,.,C03,AT5G64110.1
Bo3g101640.1,.,C03,AT5G64100.1
Bo3g101650.1,.,C03,0
Bo3g101660.1,.,C03,0
Bo3g101670.1,.,C03,0
Bo3g101680.1,.,C03,AT5G64070.1
Bo3g101690.1,.,C03,AT5G64060.1
Bo3g101700.1,.,C03,AT5G64050.1
Bo3g101710.1,.,C03,0
Bo3g101720.1,.,C03,0
Bo3g101730.1,.,C03,0
Bo3g102730.1,.,C03,0
Bo3g102740.1,.,C03,0
Bo3g102750.1,.,C03,AT5G64040.1
Bo3g102760.1,.,C03,AT5G64030.1
Bo3g102770.1,.,C03,AT5G64020.1
Bo3g102780.1,.,C03,0
Bo3g102790.1,.,C03,AT5G64010.1
Bo3g102800.1,.,C03,AT5G64000.1
Bo3g102810.1,.,C03,AT5G63990.1
Bo3g102820.1,.,C03,AT5G63980.1
Bo3g102830.1,.,C03,AT5G63960.1
Bo3g102840.1,.,C03,0
Bo3g102850.1,.,C03,AT5G63950.1
BnaC03g50320D,.,C03,0
Bo3g102860.1,.,C03,0
Bo3g102870.1,.,C03,0
Bo3g102880.1,.,C03,0
Bo3g102890.1,.,C03,0
Bo3g102900.1,.,C03,AT5G63940.1
BnaC03g50370D,.,C03,0
Bo3g102910.1,.,C03,0
Bo3g102920.1,.,C03,0
Bo3g102930.1,.,C03,0
Bo3g102940.1,.,C03,AT5G63910.1
BnaC03g50400D,.,C03,0
Bo3g102950.1,.,C03,AT1G42690.1
Bo3g102960.1,.,C03,0
Bo3g102970.1,.,C03,0
Bo3g102980.1,.,C03,AT5G63890.2
BnaC03g50450D,.,C03,0
Bo3g102990.1,.,C03,0
Bo3g103000.1,.,C03,AT5G63870.1
Bo3g103010.1,.,C03,AT5G63860.1
Bo3g103020.1,.,C03,AT5G63850.1
Bo3g103030.1,.,C03,AT5G63840.1
Bo3g103040.1,.,C03,AT5G63830.1
Bo3g103050.1,.,C03,AT5G63810.1
Bo3g103060.1,.,C03,AT5G63800.1
BnaC03g50560D,.,C03,0
Bo3g103070.1,.,C03,AT5G63780.1
Bo3g103080.1,.,C03,AT5G63770.1
Bo3g103090.1,.,C03,0
Bo3g103100.1,.,C03,0
Bo3g103110.1,.,C03,0
Bo3g103120.1,.,C03,0
Bo3g103130.1,.,C03,0
Bo3g103140.1,.,C03,0
Bo3g103150.1,.,C03,AT5G63710.1
Bo3g103160.1,.,C03,AT5G63690.1
Bo3g103170.1,.,C03,0
BnaC03g50670D,.,C03,0
BnaC03g69360D,.,C03,0
Bo3g103180.1,.,C03,AT5G63680.1
Bo3g103190.1,.,C03,0
Bo3g103200.1,.,C03,AT5G63650.1
Bo3g103210.1,.,C03,AT5G63640.1
Bo3g103220.1,.,C03,AT5G63630.1
Bo3g103230.1,.,C03,AT5G63620.1
Bo3g103240.1,.,C03,0
Bo3g103250.1,.,C03,0
Bo3g103260.1,.,C03,AT5G63590.1
Bo3g103270.1,.,C03,0
Bo3g103280.1,.,C03,AT5G63570.1
Bo3g103290.1,.,C03,0
Bo3g103300.1,.,C03,AT5G63560.1
Bo3g103310.1,.,C03,AT5G63550.2
Bo3g103320.1,.,C03,AT5G63530.1
Bo3g103330.1,.,C03,0
BnaC03g50770D,.,C03,AT5G63500.1
BnaC03g50780D,.,C03,AT5G63500.1
Bo3g103340.1,.,C03,AT5G63490.1
BnaC03g50800D,.,C03,0
Bo3g103350.1,.,C03,AT5G63470.1
Bo3g103360.1,.,C03,0
Bo3g103370.1,.,C03,0
Bo3g103380.1,.,C03,0
BnaC03g50830D,.,C03,0
Bo3g103390.1,.,C03,0
BnaC03g50860D,.,C03,0
BnaC03g50870D,.,C03,0
BnaC03g50880D,.,C03,0
Bo3g103400.1,.,C03,0
Bo3g103410.1,.,C03,0
Bo3g103420.1,.,C03,0
Bo3g103430.1,.,C03,AT1G42690.1
Bo3g103440.1,.,C03,AT5G63450.1
Bo3g103450.1,.,C03,AT5G63420.1
Bo3g103460.1,.,C03,AT5G63400.1
Bo3g103470.1,.,C03,AT5G63390.1
Bo3g103480.1,.,C03,0
BnaC03g50970D,.,C03,0
BnaC03g50980D,.,C03,AT1G24764.1
